0,1,2,level,y
1.3,1.6,2.2,0,-1.641030022
0.1,0.4,2.8,0,-2.978607014
0.4,0.8,1,0,-0.5
2,2.2,1.9,0,-1.167326679
0.5,2.4,0.7,0,-0.457966698
2.5,2.5,1.3,0,-0.348048728
2.7,0.2,0.7,0,12.83369997
0.8,2.4,1.5,0,-1.25320535
2.5,1.8,0.6,0,0.829824245
2.6,1.4,0.9,0,0.970165173
1,2.1,2,0,-1.725076286
1.7,2,0.6,0,0.290935356
1.6,1.6,0.1,0,0.927277967
1.9,0.4,2.5,0,1.912155217
1.8,2,3,0,-2.59239487
2,2,1.5,0,-0.586538683
0.8,0.1,0.2,0,7.839919406
1,2.6,0.1,0,0.311893352
1.1,2.1,2.4,0,-2.185180339
0.4,1.2,1.9,0,-1.743084254
2.4,2.9,0.3,0,0.573612153
0.1,0.1,0.5,0,0.545716123
2.2,0.6,0.7,0,3.000366635
0.9,2.1,1.8,0,-1.523903066
1.6,0.5,1,0,2.2
1.1,2.7,2.5,0,-2.430437375
0.2,0.2,0.8,0,0.22431742
1,2.6,0.4,0,0.032235295
0.7,2.4,1.2,0,-0.938983752
1.5,1.9,2.8,0,-2.43913333
0.1,1.5,0.4,0,-0.285713423
2.2,1.3,2.6,0,-1.275107166
1.1,2.1,1.2,0,-0.706840895
0.5,0.7,0.5,0,0.260001837
1.6,2.1,0.4,0,0.409524672
1.3,0.5,2.1,0,0.273017188
0.9,1.5,1.6,0,-1.107484281
2.1,0.4,2.7,0,2.152323687
2.4,1.6,1.4,0,0.033295887
2.2,2.2,1.7,0,-0.829480733
1.8,0.6,1,0,2
0.4,0.1,0.6,0,3.440935356
0.1,1.8,1.9,0,-2.020862032
0.5,0.3,1.7,0,-0.162814067
3,0.4,0.3,0,7.246025946
1.1,1.4,1.7,0,-1.043766447
0.8,2.2,1,0,-0.636363636
0.1,1.1,1.9,0,-1.985508497
1.2,2.7,2.4,0,-2.264545418
2.8,0.3,2.6,0,6.365918475
0.3,0.4,2.8,0,-2.478607014
0.4,1.9,1.5,0,-1.376012367
0.4,2.1,1.8,0,-1.761998304
1.9,2.8,1.5,0,-0.907967254
1,2.7,0.2,0,0.210289777
