source,target,x1
0,4.12,1
0,4.41,2
0,4.42,3
0,4.69,4
0,4.76,6
0,4.73,12
0,4.41,24
0,4.22,36
0,3.99,60
0,3.96,84
0,3.88,120
0,4.14,240
0,3.97,360
1,4.04,1
1,4.39,2
1,4.45,3
1,4.66,4
1,4.73,6
1,4.71,12
1,4.34,24
1,4.16,36
1,3.94,60
1,3.91,84
1,3.83,120
1,4.09,240
1,3.92,360
2,3.86,1
2,4.33,2
2,4.46,3
2,4.66,4
2,4.75,6
2,4.71,12
2,4.31,24
2,4.18,36
2,3.97,60
2,3.97,84
2,3.88,120
2,4.13,240
2,3.98,360
3,3.87,1
3,4.32,2
3,4.46,3
3,4.66,4
3,4.76,6
3,4.75,12
3,4.32,24
3,4.17,36
3,3.94,60
3,3.93,84
3,3.84,120
3,4.1,240
3,3.93,360
4,3.8,1
4,4.2,2
4,4.34,3
4,4.59,4
4,4.67,6
4,4.66,12
4,4.31,24
4,4.09,36
4,3.86,60
4,3.83,84
4,3.75,120
4,3.99,240
4,3.82,360
5,3.8,1
5,4.2,2
5,4.35,3
5,4.57,4
5,4.66,6
5,4.64,12
5,4.24,24
5,4.02,36
5,3.79,60
5,3.77,84
5,3.67,120
5,3.91,240
5,3.73,360
6,3.9,1
6,4.23,2
6,4.33,3
6,4.57,4
6,4.67,6
6,4.6,12
6,4.21,24
6,4,36
6,3.78,60
6,3.77,84
6,3.68,120
6,3.93,240
6,3.74,360
7,3.89,1
7,4.23,2
7,4.35,3
7,4.55,4
7,4.7,6
7,4.64,12
7,4.25,24
7,4.03,36
7,3.79,60
7,3.78,84
7,3.69,120
7,3.94,240
7,3.74,360
8,3.95,1
8,4.24,2
8,4.37,3
8,4.57,4
8,4.71,6
8,4.64,12
8,4.25,24
8,3.99,36
8,3.7,60
8,3.67,84
8,3.57,120
8,3.82,240
8,3.62,360
9,3.94,1
9,4.22,2
9,4.31,3
9,4.54,4
9,4.68,6
9,4.61,12
9,4.17,24
9,3.91,36
9,3.61,60
9,3.58,84
9,3.48,120
9,3.73,240
9,3.53,360
10,3.95,1
10,4.24,2
10,4.34,3
10,4.56,4
10,4.7,6
10,4.65,12
10,4.23,24
10,3.96,36
10,3.62,60
10,3.56,84
10,3.44,120
10,3.69,240
10,3.48,360
11,3.91,1
11,4.14,2
11,4.33,3
11,4.58,4
11,4.68,6
11,4.64,12
11,4.23,24
11,3.94,36
11,3.64,60
11,3.59,84
11,3.49,120
11,3.74,240
11,3.52,360
12,3.89,1
12,4.16,2
12,4.35,3
12,4.58,4
12,4.7,6
12,4.64,12
12,4.22,24
12,3.96,36
12,3.66,60
12,3.6,84
12,3.51,120
12,3.74,240
12,3.53,360
13,3.86,1
13,4.18,2
13,4.38,3
13,4.6,4
13,4.78,6
13,4.75,12
13,4.39,24
13,4.1,36
13,3.8,60
13,3.73,84
13,3.61,120
13,3.84,240
13,3.57,360
14,3.81,1
14,4.13,2
14,4.31,3
14,4.54,4
14,4.72,6
14,4.72,12
14,4.33,24
14,4.07,36
14,3.75,60
14,3.69,84
14,3.57,120
14,3.82,240
14,3.56,360
15,3.75,1
15,4.11,2
15,4.28,3
15,4.53,4
15,4.71,6
15,4.71,12
15,4.31,24
