,0
0,"Sub(Div(X[:,0],2.277842152462626),Pow(X[:,1],2.7831088744513544))"
1,"Sub(Div(X[:,0],2.5291851404809966),Pow(X[:,1],1.9347853662941044))"
2,"Sub(Div(X[:,0],1.6924758189102929),Pow(X[:,1],1.5275570585600395))"
3,"Sub(Div(X[:,0],1.1795817390461296),Pow(X[:,1],1.9777464892322256))"
4,"Sub(Div(X[:,0],1.976342176608016),Pow(X[:,1],1.0078417816591276))"
5,"Sub(Div(X[:,0],1.8153714573542872),Pow(X[:,1],2.7971423097694466))"
6,"Sub(Div(X[:,0],1.3958446261198274),Pow(X[:,1],1.1741997567304472))"
7,"Sub(Div(X[:,0],2.8871544092871906),Pow(X[:,1],2.4755985547328185))"
8,"Sub(Div(X[:,0],2.823828864636039),Pow(X[:,1],2.3559354790576292))"
9,"Sub(Div(X[:,0],2.800599144586073),Pow(X[:,1],1.1378884440905026))"
10,"Sub(Div(X[:,0],1.0741888264688157),Pow(X[:,1],1.701312782566266))"
11,"Sub(Div(X[:,0],2.753364927146147),Pow(X[:,1],2.6155857010396506))"
12,"Sub(Div(X[:,0],2.0941208015363464),Pow(X[:,1],2.747425255190346))"
13,"Sub(Div(X[:,0],1.870843964868756),Pow(X[:,1],1.5196732590734792))"
14,"Sub(Div(X[:,0],1.3186864877342892),Pow(X[:,1],1.03504452352427))"
15,"Sub(Div(X[:,0],2.3835083186483335),Pow(X[:,1],2.3536025753509806))"
16,"Sub(Div(X[:,0],2.7043143646107444),Pow(X[:,1],1.7425747905101734))"
17,"Sub(Div(X[:,0],2.6930829902341005),Pow(X[:,1],2.717724113693793))"
18,"Sub(Div(X[:,0],1.9765364404781434),Pow(X[:,1],2.0786901981721932))"
19,"Sub(Div(X[:,0],2.3398878106709113),Pow(X[:,1],2.785923294783295))"
20,"Sub(Div(X[:,0],1.743161952371829),Pow(X[:,1],1.8318859160150964))"
21,"Sub(Div(X[:,0],2.229527149001572),Pow(X[:,1],1.3017019760320696))"
22,"Sub(Div(X[:,0],2.2054159956044543),Pow(X[:,1],2.663705475031133))"
23,"Sub(Div(X[:,0],1.290723908988386),Pow(X[:,1],2.38277852092169))"
24,"Sub(Div(X[:,0],1.6478039691416577),Pow(X[:,1],1.7783417589788355))"
25,"Sub(Div(X[:,0],2.580802514531318),Pow(X[:,1],1.111176844869815))"
26,"Sub(Div(X[:,0],1.5105927776638777),Pow(X[:,1],1.1910418017577862))"
27,"Sub(Div(X[:,0],1.1439066950836787),Pow(X[:,1],1.8071625094395538))"
28,"Sub(Div(X[:,0],1.7227346566207475),Pow(X[:,1],1.474885123520631))"
29,"Sub(Div(X[:,0],2.514457389782258),Pow(X[:,1],2.0023321845328503))"
30,"Pow(Sub(X[:,0],2.277842152462626),Sub(X[:,1],2.7831088744513544))"
31,"Pow(Sub(X[:,0],2.5291851404809966),Sub(X[:,1],1.9347853662941044))"
32,"Pow(Sub(X[:,0],1.6924758189102929),Sub(X[:,1],1.5275570585600395))"
33,"Pow(Sub(X[:,0],1.1795817390461296),Sub(X[:,1],1.9777464892322256))"
34,"Pow(Sub(X[:,0],1.976342176608016),Sub(X[:,1],1.0078417816591276))"
35,"Pow(Sub(X[:,0],1.8153714573542872),Sub(X[:,1],2.7971423097694466))"
36,"Pow(Sub(X[:,0],1.3958446261198274),Sub(X[:,1],1.1741997567304472))"
37,"Pow(Sub(X[:,0],2.8871544092871906),Sub(X[:,1],2.4755985547328185))"
38,"Pow(Sub(X[:,0],2.823828864636039),Sub(X[:,1],2.3559354790576292))"
39,"Pow(Sub(X[:,0],2.800599144586073),Sub(X[:,1],1.1378884440905026))"
40,"Pow(Sub(X[:,0],1.0741888264688157),Sub(X[:,1],1.701312782566266))"
41,"Pow(Sub(X[:,0],2.753364927146147),Sub(X[:,1],2.6155857010396506))"
42,"Pow(Sub(X[:,0],2.0941208015363464),Sub(X[:,1],2.747425255190346))"
43,"Pow(Sub(X[:,0],1.870843964868756),Sub(X[:,1],1.5196732590734792))"
44,"Pow(Sub(X[:,0],1.3186864877342892),Sub(X[:,1],1.03504452352427))"
45,"Pow(Sub(X[:,0],2.3835083186483335),Sub(X[:,1],2.3536025753509806))"
46,"Pow(Sub(X[:,0],2.7043143646107444),Sub(X[:,1],1.7425747905101734))"
47,"Pow(Sub(X[:,0],2.6930829902341005),Sub(X[:,1],2.717724113693793))"
48,"Pow(Sub(X[:,0],1.9765364404781434),Sub(X[:,1],2.0786901981721932))"
49,"Pow(Sub(X[:,0],2.3398878106709113),Sub(X[:,1],2.785923294783295))"
50,"Pow(Sub(X[:,0],1.743161952371829),Sub(X[:,1],1.8318859160150964))"
51,"Pow(Sub(X[:,0],2.229527149001572),Sub(X[:,1],1.3017019760320696))"
52,"Pow(Sub(X[:,0],2.2054159956044543),Sub(X[:,1],2.663705475031133))"
53,"Pow(Sub(X[:,0],1.290723908988386),Sub(X[:,1],2.38277852092169))"
54,"Pow(Sub(X[:,0],1.6478039691416577),Sub(X[:,1],1.7783417589788355))"
55,"Pow(Sub(X[:,0],2.580802514531318),Sub(X[:,1],1.111176844869815))"
56,"Pow(Sub(X[:,0],1.5105927776638777),Sub(X[:,1],1.1910418017577862))"
57,"Pow(Sub(X[:,0],1.1439066950836787),Sub(X[:,1],1.8071625094395538))"
58,"Pow(Sub(X[:,0],1.7227346566207475),Sub(X[:,1],1.474885123520631))"
59,"Pow(Sub(X[:,0],2.514457389782258),Sub(X[:,1],2.0023321845328503))"
60,"Mul(Add(X[:,0],2.277842152462626),Sub(X[:,1],2.7831088744513544))"
61,"Mul(Add(X[:,0],2.5291851404809966),Sub(X[:,1],1.9347853662941044))"
62,"Mul(Add(X[:,0],1.6924758189102929),Sub(X[:,1],1.5275570585600395))"
63,"Mul(Add(X[:,0],1.1795817390461296),Sub(X[:,1],1.9777464892322256))"
64,"Mul(Add(X[:,0],1.976342176608016),Sub(X[:,1],1.0078417816591276))"
65,"Mul(Add(X[:,0],1.8153714573542872),Sub(X[:,1],2.7971423097694466))"
66,"Mul(Add(X[:,0],1.3958446261198274),Sub(X[:,1],1.1741997567304472))"
67,"Mul(Add(X[:,0],2.8871544092871906),Sub(X[:,1],2.4755985547328185))"
68,"Mul(Add(X[:,0],2.823828864636039),Sub(X[:,1],2.3559354790576292))"
69,"Mul(Add(X[:,0],2.800599144586073),Sub(X[:,1],1.1378884440905026))"
70,"Mul(Add(X[:,0],1.0741888264688157),Sub(X[:,1],1.701312782566266))"
71,"Mul(Add(X[:,0],2.753364927146147),Sub(X[:,1],2.6155857010396506))"
72,"Mul(Add(X[:,0],2.0941208015363464),Sub(X[:,1],2.747425255190346))"
73,"Mul(Add(X[:,0],1.870843964868756),Sub(X[:,1],1.5196732590734792))"
74,"Mul(Add(X[:,0],1.3186864877342892),Sub(X[:,1],1.03504452352427))"
75,"Mul(Add(X[:,0],2.3835083186483335),Sub(X[:,1],2.3536025753509806))"
76,"Mul(Add(X[:,0],2.7043143646107444),Sub(X[:,1],1.7425747905101734))"
77,"Mul(Add(X[:,0],2.6930829902341005),Sub(X[:,1],2.717724113693793))"
78,"Mul(Add(X[:,0],1.9765364404781434),Sub(X[:,1],2.0786901981721932))"
79,"Mul(Add(X[:,0],2.3398878106709113),Sub(X[:,1],2.785923294783295))"
80,"Mul(Add(X[:,0],1.743161952371829),Sub(X[:,1],1.8318859160150964))"
81,"Mul(Add(X[:,0],2.229527149001572),Sub(X[:,1],1.3017019760320696))"
