,0
0,"Sub(Div(X[:,0],2.5291851404809966),Pow(X[:,1],1.9347853662941044))"
1,"Sub(Div(X[:,0],1.6924758189102929),Pow(X[:,1],1.5275570585600395))"
2,"Sub(Div(X[:,0],1.976342176608016),Pow(X[:,1],1.0078417816591276))"
3,"Sub(Div(X[:,0],1.8153714573542872),Pow(X[:,1],2.7971423097694466))"
4,"Sub(Div(X[:,0],2.8871544092871906),Pow(X[:,1],2.4755985547328185))"
5,"Sub(Div(X[:,0],2.823828864636039),Pow(X[:,1],2.3559354790576292))"
6,"Sub(Div(X[:,0],1.0741888264688157),Pow(X[:,1],1.701312782566266))"
7,"Sub(Div(X[:,0],2.753364927146147),Pow(X[:,1],2.6155857010396506))"
8,"Sub(Div(X[:,0],1.870843964868756),Pow(X[:,1],1.5196732590734792))"
9,"Sub(Div(X[:,0],1.3186864877342892),Pow(X[:,1],1.03504452352427))"
10,"Sub(Div(X[:,0],2.7043143646107444),Pow(X[:,1],1.7425747905101734))"
11,"Sub(Div(X[:,0],2.6930829902341005),Pow(X[:,1],2.717724113693793))"
12,"Sub(Div(X[:,0],2.3398878106709113),Pow(X[:,1],2.785923294783295))"
13,"Sub(Div(X[:,0],1.743161952371829),Pow(X[:,1],1.8318859160150964))"
14,"Sub(Div(X[:,0],2.2054159956044543),Pow(X[:,1],2.663705475031133))"
15,"Sub(Div(X[:,0],1.290723908988386),Pow(X[:,1],2.38277852092169))"
16,"Sub(Div(X[:,0],2.580802514531318),Pow(X[:,1],1.111176844869815))"
17,"Sub(Div(X[:,0],1.5105927776638777),Pow(X[:,1],1.1910418017577862))"
18,"Sub(Div(X[:,0],1.7227346566207475),Pow(X[:,1],1.474885123520631))"
19,"Sub(Div(X[:,0],2.514457389782258),Pow(X[:,1],2.0023321845328503))"
20,"Pow(Sub(X[:,0],2.5291851404809966),Sub(X[:,1],1.9347853662941044))"
21,"Pow(Sub(X[:,0],1.6924758189102929),Sub(X[:,1],1.5275570585600395))"
22,"Pow(Sub(X[:,0],1.976342176608016),Sub(X[:,1],1.0078417816591276))"
23,"Pow(Sub(X[:,0],1.8153714573542872),Sub(X[:,1],2.7971423097694466))"
24,"Pow(Sub(X[:,0],2.8871544092871906),Sub(X[:,1],2.4755985547328185))"
