0,1,2,level,y
1.0,1.6,2.5,0,2.14433752
0.5,1.7,1.7,0,0.05443943999999981
2.5,0.4,2.9,0,3.5517610799999995
0.3,1.8,1.1,0,-1.20803508
0.9,1.5,1.3,0,-0.90061152
3.0,3.0,1.0,0,-4.0515288
3.0,2.3,2.7,0,5.431149560000001
1.7,1.5,0.5,0,-3.7608153600000005
0.7,2.1,2.8,0,3.1492865599999993
2.1,2.4,1.3,0,-1.6886466
2.5,1.0,0.6,0,-3.763391800000001
0.7,0.6,1.9,0,0.2921687599999998
0.7,1.9,2.5,0,2.1443375199999997
1.3,0.3,1.7,0,0.03959231999999986
2.2,0.6,1.7,0,0.06928655999999976
2.7,0.4,1.7,0,0.07671011999999973
2.5,2.8,0.2,0,-7.81885044
1.3,1.7,1.9,0,0.6742355999999996
1.6,0.7,2.1,0,0.9769139600000001
2.7,2.9,1.0,0,-3.78142688
1.7,1.4,0.1,0,-4.8832898799999995
0.6,0.6,1.2,0,-0.5703057600000001
2.6,2.3,0.4,0,-6.24874852
0.5,1.3,1.3,0,-0.67545864
0.7,2.6,0.1,0,-5.198340839999999
2.7,2.7,2.7,0,5.533624080000001
0.1,1.7,2.6,0,1.66454136
1.6,2.2,0.3,0,-5.22596824
2.6,0.8,0.2,0,-5.015866320000001
0.9,2.7,1.9,0,0.8090827199999996
0.8,2.5,2.6,0,3.05165916
1.2,0.1,2.6,0,1.2021687600000002
2.9,1.5,1.6,0,-0.3311211199999998
0.8,0.6,1.2,0,-0.6653567200000001
1.9,0.8,2.2,0,1.4168120400000004
0.1,0.5,0.3,0,-0.82515288
1.9,0.1,2.6,0,1.8494904
2.8,1.8,1.7,0,0.11382791999999958
0.4,0.2,2.0,0,0.19484712
0.2,2.8,0.2,0,-4.4257644
2.3,0.1,0.3,0,-3.30061152
2.3,1.1,3.0,0,4.50413368
2.6,1.8,0.4,0,-5.61112112
0.2,0.2,1.6,0,-0.030101919999999983
0.2,1.8,0.2,0,-2.9505096
1.2,1.2,1.4,0,-0.6606115200000003
2.3,2.2,2.4,0,3.2613533999999995
0.6,0.5,2.3,0,0.6872197199999998
3.0,1.8,1.0,0,-3.24122304
3.0,1.2,1.8,0,0.52392984
2.9,0.4,0.7,0,-3.21834084
1.5,2.9,2.5,0,3.6288788800000003
0.2,1.0,0.2,0,-1.77030576
2.9,1.7,1.2,0,-2.1861720800000004
3.0,1.4,2.6,0,4.068878880000001
2.5,0.4,1.1,0,-1.6682389199999998
1.0,0.5,2.9,0,1.8371177999999997
1.7,0.3,1.0,0,-1.3505096
0.1,2.5,1.5,0,-0.45566248000000015
0.2,1.5,0.2,0,-2.50793316
0.5,2.3,2.7,0,2.8692865600000004
2.5,3.0,2.2,0,2.886098600000001
0.1,0.4,2.2,0,0.26237260000000007
0.8,0.1,2.5,0,0.74227068
2.2,0.4,1.3,0,-0.97566248
1.1,3.0,2.4,0,2.971455319999999
1.2,0.8,0.6,0,-2.1505096000000004
1.3,1.3,0.4,0,-3.31566248
0.3,1.9,2.7,0,2.25443944
1.7,1.6,2.6,0,3.05165916
1.9,1.9,1.5,0,-0.6659682400000001
2.3,0.7,0.4,0,-3.8257643999999997
2.7,1.3,0.6,0,-4.301019200000001
1.3,0.2,0.6,0,-1.6128822000000003
2.3,1.1,1.5,0,-0.5958663200000002
1.1,1.8,0.5,0,-3.4082389200000005
0.4,2.3,0.6,0,-2.9031879600000003
1.2,2.0,0.4,0,-4.08081536
0.3,0.8,1.2,0,-0.5227802800000001
0.1,2.7,0.6,0,-3.010713440000001
0.5,1.2,0.2,0,-2.50793316
2.7,2.2,1.7,0,0.12125147999999958
1.4,1.4,1.6,0,-0.21071343999999986
1.1,2.4,0.3,0,-4.8133918
1.6,2.5,1.2,0,-1.9485446800000001
2.8,2.9,1.8,0,0.7110476399999999
2.0,1.9,1.4,0,-1.0734937200000005
2.4,1.9,2.7,0,4.406404360000001
1.7,2.2,2.8,0,4.38650628
1.5,0.8,1.6,0,-0.17308603999999989
0.2,1.4,1.0,0,-1.08040768
1.1,0.8,2.1,0,0.8070158800000001
2.3,0.1,1.8,0,0.29938848
0.2,0.6,2.3,0,0.4997961599999998
2.3,2.2,1.1,0,-2.5886465999999997
1.0,1.2,1.6,0,-0.1655605599999999
1.4,0.4,2.0,0,0.5845413599999999
1.3,2.2,1.2,0,-1.6633918000000003
0.8,1.0,2.6,0,1.66454136
0.1,1.9,0.4,0,-2.5505096
2.2,0.5,1.3,1,-4.436443359
0.1,0.5,0.7,1,-1.345876302
2.3,1.2,2.1,1,-2.9509450949999994
0.9,0.5,3.0,1,0.07962196200000013
1.9,1.5,2.9,1,-0.14663237799999998
1.4,2.5,2.7,1,-0.9481959629999989
3.0,0.8,0.3,1,-10.043883246
1.0,0.9,0.9,1,-3.881941623
0.6,1.6,2.8,1,-0.3148797740000002
2.1,0.3,3.0,1,0.13649479200000023
1.9,1.8,0.7,1,-8.299570529
2.6,2.0,2.0,1,-4.338384981999999
0.3,2.8,0.8,1,-6.643694226999998
2.8,0.8,2.4,1,-1.9552578119999997
1.5,1.1,2.4,1,-1.412130642
1.0,1.2,1.4,1,-3.394879774
2.1,1.2,2.1,1,-2.7823196609999994
0.8,1.6,3.0,1,0.13649479200000025
1.8,0.2,1.6,1,-2.6862543399999996
2.4,2.0,2.7,1,-1.0697595479999988
2.6,2.9,1.7,1,-6.837199435
3.0,2.8,3.0,1,0.32986241400000055
0.2,3.0,2.2,1,-2.378006943999999
1.3,2.2,1.0,1,-6.800945094999999
2.6,2.1,1.8,1,-5.372697699
2.1,0.4,2.0,1,-2.357817925
0.5,1.2,3.0,1,0.09668381100000016
2.9,0.1,1.9,1,-3.12938151
1.2,0.4,0.7,1,-3.5890034720000004
1.6,2.9,2.9,1,-0.19407226499999997
0.1,0.8,2.6,1,-0.3088144529999998
2.2,1.7,2.2,1,-2.898195962999999
2.5,1.5,1.8,1,-4.572508679999999
3.0,0.9,2.5,1,-1.7281959629999997
2.0,1.1,1.1,1,-5.7136942269999995
0.2,0.6,0.7,1,-1.7945017360000002
1.4,0.6,0.7,1,-4.48625434
2.6,1.9,0.6,1,-10.544072264999999
2.3,0.1,0.6,1,-5.623505207999999
1.8,1.8,1.9,1,-3.755257812
2.6,1.0,0.1,1,-10.235257812
2.0,2.2,0.8,1,-9.001134114
2.3,0.2,1.3,1,-4.107817925
0.9,2.1,2.5,1,-1.3293815099999997
2.6,2.5,1.6,1,-6.849948566999998
2.2,2.2,0.6,1,-10.309759548
0.5,0.5,2.0,1,-0.9431271699999999
0.1,0.9,1.1,1,-1.8431271699999998
2.1,1.7,0.2,1,-10.423883245999999
2.2,0.7,2.5,1,-1.285068793
0.3,0.7,0.6,1,-2.34312717
0.7,1.1,0.7,1,-4.037628906
2.7,2.4,2.4,1,-2.7699485669999997
1.3,0.5,3.0,1,0.10237109400000018
2.1,1.2,2.8,1,-0.4723196610000002
0.9,0.2,0.3,1,-2.9074398870000002
1.5,0.4,0.7,1,-4.261941623
0.1,2.0,1.0,1,-4.080567057
0.4,1.6,2.7,1,-0.48625433999999945
0.7,2.6,2.3,1,-2.122319661
2.1,2.9,0.9,1,-10.21563585
0.8,0.2,2.0,1,-0.9431271699999999
2.8,0.8,1.8,1,-4.115257811999999
1.8,2.3,0.3,1,-10.836821397
3.0,1.3,2.5,1,-1.9054468309999995
2.9,1.1,2.2,1,-2.972508679999999
1.1,0.1,0.9,1,-2.451752604
0.2,2.8,0.7,1,-6.7293815100000005
1.2,2.6,0.1,1,-10.803883245999998
0.4,1.3,1.1,1,-3.133316189
2.2,2.6,1.7,1,-5.967010416000001
0.8,0.3,2.9,1,-0.04743988699999999
1.1,3.0,0.7,1,-9.196821397
2.6,2.3,1.4,1,-7.561323133
2.5,0.7,2.8,1,-0.4580069440000003
0.6,2.0,0.4,1,-6.612130642
