,0
0,"Sub(Div(X[:,0],X[:,1]),Pow(X[:,2],[1.13833399]))"
1,"Sub(Div(X[:,0],X[:,1]),Pow(X[:,2],[2.8774234]))"
2,"Sub(Div(X[:,0],X[:,1]),Pow(X[:,2],[1.86477819]))"
3,"Sub(Div(X[:,0],X[:,1]),Pow(X[:,2],[1.21184346]))"
4,"Sub(Div(X[:,0],X[:,1]),Pow(X[:,2],[1.65664427]))"
5,"Sub(Div(X[:,0],X[:,1]),Pow(X[:,2],[1.41555826]))"
6,"Sub(Div(X[:,0],X[:,1]),Pow(X[:,2],[1.28465543]))"
7,"Sub(Div(X[:,0],X[:,1]),Pow(X[:,2],[2.98511544]))"
8,"Sub(Div(X[:,0],X[:,1]),Pow(X[:,2],[2.06365265]))"
9,"Sub(Div(X[:,0],X[:,1]),Pow(X[:,2],[1.97274424]))"
10,"Sub(Div(X[:,0],X[:,1]),Pow(X[:,2],[2.86770448]))"
11,"Sub(Div(X[:,0],X[:,1]),Pow(X[:,2],[1.46576567]))"
12,"Sub(Div(X[:,0],X[:,1]),Pow(X[:,2],[2.36074536]))"
13,"Sub(Div(X[:,0],X[:,1]),Pow(X[:,2],[1.2613284]))"
14,"Sub(Div(X[:,0],X[:,1]),Pow(X[:,2],[2.32192834]))"
15,"Sub(Div(X[:,0],X[:,1]),Pow(X[:,2],[1.68531001]))"
16,"Sub(Div(X[:,0],X[:,1]),Pow(X[:,2],[2.94030134]))"
17,"Sub(Div(X[:,0],X[:,1]),Pow(X[:,2],[2.26489632]))"
18,"Sub(Div(X[:,0],X[:,1]),Pow(X[:,2],[2.80376099]))"
19,"Sub(Div(X[:,0],X[:,1]),Pow(X[:,2],[1.08483827]))"
20,"Sub(Div(X[:,0],X[:,1]),Pow(X[:,2],[2.94360501]))"
21,"Sub(Div(X[:,0],X[:,1]),Pow(X[:,2],[1.6752548]))"
22,"Sub(Div(X[:,0],X[:,1]),Pow(X[:,2],[2.94312717]))"
23,"Sub(Div(X[:,0],X[:,1]),Pow(X[:,2],[1.89899397]))"
24,"Sub(Div(X[:,0],X[:,1]),Pow(X[:,2],[2.4419654]))"
25,"Sub(Div(X[:,0],X[:,1]),Pow(X[:,2],[1.98242584]))"
26,"Sub(Div(X[:,0],X[:,1]),Pow(X[:,2],[2.71990625]))"
